Security,.SPXPE U Index                                                  
Start Date,1/31/1990 0:00
End Date,5/18/2021 0:00
Period,D
,
Date,PX_LAST
8/19/1994,15.0691
8/18/1994,15.0574
8/17/1994,15.1059
8/16/1994,15.0913
8/15/1994,14.9646
8/12/1994,14.9817
8/11/1994,14.8756
8/10/1994,14.9192
8/9/1994,14.8306
8/8/1994,14.8238
8/5/1994,14.7987
8/4/1994,14.8537
8/3/1994,14.9459
8/2/1994,14.9153
8/1/1994,14.9293
7/29/1994,14.8568
7/28/1994,14.8545
7/27/1994,14.799
7/26/1994,14.8219
7/25/1994,14.8557
7/22/1994,14.8119
7/21/1994,14.8416
7/20/1994,14.8079
7/19/1994,14.8762
7/18/1994,14.912
7/15/1994,14.8769
7/14/1994,14.846
7/13/1994,14.6985
7/12/1994,14.6633
7/11/1994,14.6673
7/8/1994,14.7271
7/7/1994,14.6817
7/6/1994,14.6092
7/5/1994,14.4951
7/1/1994,14.4857
6/30/1994,14.5103
6/29/1994,14.7941
6/28/1994,14.7425
6/27/1994,14.7775
6/24/1994,14.5825
6/23/1994,14.7909
6/22/1994,14.9077
6/21/1994,14.8506
6/20/1994,14.9811
6/17/1994,15.0203
6/16/1994,15.1388
6/15/1994,15.0865
6/14/1994,15.1542
6/13/1994,15.0555
6/10/1994,14.9483
6/9/1994,14.9128
6/8/1994,14.8932
6/7/1994,14.8891
6/6/1994,14.897
6/3/1994,14.93
6/2/1994,14.8263
6/1/1994,14.8243
5/31/1994,14.8283
5/27/1994,15.1186
5/26/1994,15.0948
5/25/1994,15.0616
5/24/1994,15.0083
5/23/1994,14.954
5/20/1994,15.0175
5/19/1994,15.0501
5/18/1994,14.9767
5/17/1994,14.8377
5/16/1994,14.6747
5/13/1994,14.4377
5/12/1994,14.42
5/11/1994,14.3384
5/10/1994,14.4836
5/9/1994,14.371
5/6/1994,14.5516
5/5/1994,14.6758
5/4/1994,14.692
5/3/1994,14.7381
5/2/1994,14.738
4/29/1994,14.6809
4/28/1994,14.7571
4/26/1994,14.8472
4/25/1994,14.8832
4/22/1994,14.7171
4/21/1994,14.7651
4/20/1994,14.5328
4/19/1994,14.5398
4/18/1994,14.4662
4/15/1994,14.5752
4/14/1994,14.5764
4/13/1994,14.576
4/12/1994,14.6018
4/11/1994,14.6815
4/8/1994,14.5322
4/7/1994,14.6438
4/6/1994,14.5503
4/5/1994,14.5736
4/4/1994,14.2821
3/31/1994,14.4701
3/30/1994,14.5894
3/29/1994,14.813
3/28/1994,15.0577
3/25/1994,15.0758
3/24/1994,15.1617
3/23/1994,15.2874
3/22/1994,15.2986
3/21/1994,15.292
3/18/1994,15.3595
3/17/1994,15.3332
3/16/1994,15.2842
3/15/1994,15.2106
3/14/1994,15.2033
3/11/1994,15.1735
3/10/1994,15.0558
3/9/1994,15.1623
3/8/1994,15.1309
3/7/1994,15.1527
3/4/1994,15.0769
3/3/1994,15.0038
3/2/1994,15.0628
3/1/1994,15.0417
2/28/1994,15.0837
2/25/1994,15.069
2/24/1994,15.0114
2/23/1994,15.2105
2/22/1994,15.2288
2/18/1994,15.0913
2/17/1994,15.1567
2/16/1994,15.2318
2/15/1994,15.2242
2/14/1994,15.1469
2/11/1994,15.149
2/10/1994,15.0883
2/9/1994,15.1999
2/8/1994,15.1455
2/7/1994,15.1936
2/4/1994,15.1274
2/3/1994,15.456
2/2/1994,15.4837
2/1/1994,15.4046
1/31/1994,15.5857
1/28/1994,15.6356
1/27/1994,15.5492
1/26/1994,15.4254
1/25/1994,15.3463
1/24/1994,15.3764
1/21/1994,15.4003
1/20/1994,15.3848
1/19/1994,15.3444
1/18/1994,15.3383
1/17/1994,15.3124
1/14/1994,15.3871
1/13/1994,15.2951
1/12/1994,15.3598
1/11/1994,15.3506
1/10/1994,15.386
1/7/1994,15.2089
1/6/1994,15.091
1/5/1994,15.1211
1/4/1994,15.108
1/3/1994,15.0606
12/31/1993,17.0602
12/30/1993,17.13
12/29/1993,17.2058
12/28/1993,17.2137
12/27/1993,17.1939
12/23/1993,17.0616
12/22/1993,17.0601
12/21/1993,16.9897
12/20/1993,17.0014
12/17/1993,17.0184
12/16/1993,16.8705
12/15/1993,16.8062
12/14/1993,16.8561
12/13/1993,16.9407
12/10/1993,16.8686
12/9/1993,16.8793
12/8/1993,16.9551
12/7/1993,16.9858
12/6/1993,16.9696
12/3/1993,16.9183
12/2/1993,16.8225
12/1/1993,16.7774
11/30/1993,16.784
11/29/1993,16.8758
11/26/1993,16.9091
11/24/1993,16.8056
11/23/1993,16.7578
11/22/1993,16.6927
11/19/1993,16.8118
11/18/1993,16.8318
11/17/1993,16.8713
11/16/1993,16.9477
11/15/1993,16.8228
11/12/1993,16.881
11/11/1993,16.7634
11/10/1993,16.7969
11/9/1993,16.6687
11/8/1993,16.6456
11/5/1993,16.6221
11/4/1993,16.5409
11/3/1993,16.7401
11/2/1993,16.939
11/1/1993,16.9532
10/29/1993,16.9694
10/28/1993,17.0844
10/27/1993,16.9851
10/26/1993,16.9814
10/25/1993,16.9766
10/22/1993,16.927
10/21/1993,17.0266
10/20/1993,17.0529
10/19/1993,17.0558
10/18/1993,17.149
10/15/1993,17.1531
10/14/1993,17.0435
10/13/1993,16.8393
10/12/1993,16.8286
10/11/1993,16.8207
10/8/1993,16.7951
10/7/1993,16.7124
10/6/1993,16.7674
10/5/1993,16.7919
10/4/1993,16.7621
10/1/1993,16.752
9/30/1993,16.6855
9/29/1993,16.847
9/28/1993,16.899
9/27/1993,16.907
9/24/1993,16.7559
9/23/1993,16.726
9/22/1993,16.6704
9/21/1993,16.5556
9/20/1993,16.6286
9/17/1993,16.7723
9/16/1993,16.7785
9/15/1993,16.7778
9/14/1993,16.7061
9/13/1993,16.7772
9/10/1993,16.7503
9/9/1993,16.5789
9/8/1993,16.5702
9/7/1993,16.6355
9/3/1993,16.7425
9/2/1993,16.6988
9/1/1993,16.7597
8/31/1993,16.7605
8/30/1993,16.7425
8/27/1993,16.6629
8/26/1993,16.6699
8/25/1993,16.6358
8/24/1993,16.6435
8/23/1993,16.4948
8/20/1993,16.5365
8/19/1993,16.5165
8/18/1993,16.4872
8/17/1993,16.3545
8/16/1993,16.2966
8/13/1993,16.205
8/12/1993,16.1455
8/11/1993,16.2015
8/10/1993,16.1493
8/9/1993,16.2012
8/6/1993,16.1342
8/5/1993,16.0925
8/4/1993,16.1058
8/3/1993,16.1388
8/2/1993,16.164
7/30/1993,16.1098
7/29/1993,16.1126
7/28/1993,16.0152
7/27/1993,16.0609
7/26/1993,16.0743
7/23/1993,16.0036
7/22/1993,15.8879
7/21/1993,15.9878
7/20/1993,15.9911
7/19/1993,15.9408
7/16/1993,15.9294
7/15/1993,16.0436
7/14/1993,16.0918
7/13/1993,16.0211
7/12/1993,16.0418
7/9/1993,16.0126
7/8/1993,16.0146
