Security,.STRATOPT U Index                                               
Start Date,4/16/1999 0:00
End Date,5/18/2021 0:00
Period,D
,
Date,PX_LAST
4/3/2017,1.9145
3/31/2017,1.7471
3/30/2017,0.9265
3/29/2017,1.2227
3/28/2017,1.3326
3/27/2017,2.0674
3/24/2017,1.9633
3/23/2017,1.8773
3/22/2017,1.7693
3/21/2017,1.9616
3/20/2017,0.6964
3/17/2017,0.4941
3/16/2017,0.362
3/15/2017,0.1987
3/14/2017,1.0379
3/13/2017,0.6964
3/10/2017,0.7334
3/9/2017,1.0626
3/8/2017,1.1435
3/7/2017,0.9124
3/6/2017,0.6184
3/3/2017,0.2887
3/2/2017,0.3392
3/1/2017,-0.2488
2/28/2017,0.0152
2/27/2017,-0.2426
2/24/2017,-0.1411
2/23/2017,0.008
2/22/2017,0.0499
2/21/2017,-0.0583
2/17/2017,0.5461
2/16/2017,0.7149
2/15/2017,0.6279
2/14/2017,1.1302
2/13/2017,1.5355
2/10/2017,2.0681
2/9/2017,2.4321
2/8/2017,3.0213
2/7/2017,3.0928
2/6/2017,3.1162
2/3/2017,2.898
2/2/2017,3.6456
2/1/2017,3.7047
1/31/2017,3.6479
1/30/2017,3.5556
1/27/2017,2.9333
1/26/2017,2.8441
1/25/2017,2.7685
1/24/2017,3.5933
1/23/2017,4.2734
1/20/2017,3.9928
1/19/2017,4.3429
1/18/2017,3.9663
1/17/2017,4.1497
1/13/2017,3.8406
1/12/2017,4.0327
1/11/2017,3.8096
1/10/2017,4.1033
1/9/2017,4.1033
1/6/2017,3.7339
1/5/2017,3.8343
1/4/2017,3.7543
1/3/2017,4.348
12/30/2016,5.2335
12/29/2016,4.7456
12/28/2016,4.7148
12/27/2016,3.8398
