Security,.STRATOPT U Index                                               
Start Date,4/16/1999 0:00
End Date,5/18/2021 0:00
Period,D
,
Date,PX_LAST
7/23/2019,-2.2782
7/22/2019,-1.609
7/19/2019,-2.1706
7/18/2019,-2.7749
7/17/2019,-2.4266
7/16/2019,-3.0639
7/15/2019,-3.3938
7/12/2019,-3.3768
7/11/2019,-2.9304
7/10/2019,-2.7086
7/9/2019,-2.2697
7/8/2019,-2.1489
7/5/2019,-2.622
7/3/2019,-2.7979
7/2/2019,-2.0521
7/1/2019,-1.7653
6/28/2019,-1.0116
6/27/2019,-0.4417
6/26/2019,-0.0611
6/25/2019,-0.1844
6/24/2019,-1.1323
6/21/2019,-1.3035
6/20/2019,-1.4278
6/19/2019,-0.4941
6/18/2019,-0.1971
6/17/2019,0.7728
6/14/2019,0.8666
6/13/2019,0.7041
6/12/2019,1.6723
6/11/2019,1.4651
6/10/2019,1.4296
6/7/2019,1.9023
6/6/2019,2.9721
6/5/2019,3.6038
6/4/2019,4.4494
6/3/2019,6.688
5/31/2019,6.393
5/30/2019,4.9891
5/29/2019,5.2094
5/28/2019,4.4822
5/24/2019,3.6071
5/23/2019,3.7474
5/22/2019,2.5113
5/21/2019,2.2218
5/20/2019,3.0902
5/17/2019,2.3944
5/16/2019,1.7967
5/15/2019,2.7022
5/14/2019,3.3019
5/13/2019,4.13
5/10/2019,1.6173
5/9/2019,1.9953
5/8/2019,1.6871
5/7/2019,1.5239
5/6/2019,-0.1524
5/3/2019,-0.5989
5/2/2019,-0.7033
5/1/2019,-0.9142
4/30/2019,-1.6576
4/29/2019,-1.564
4/26/2019,-1.4586
4/25/2019,-0.9969
4/24/2019,-1.0334
4/23/2019,-1.2503
4/22/2019,-0.3772
4/18/2019,-0.2764
4/17/2019,-0.1189
4/16/2019,-0.3461
4/15/2019,-0.2953
4/12/2019,-0.3581
4/11/2019,0.3005
4/10/2019,0.3043
4/9/2019,0.6532
4/8/2019,0.0425
4/5/2019,0.1473
4/4/2019,0.6116
4/3/2019,0.8213
4/2/2019,1.0379
4/1/2019,0.7607
3/29/2019,1.9263
3/28/2019,2.6127
3/27/2019,2.9811
3/26/2019,2.5028
3/25/2019,3.239
3/22/2019,3.1524
3/21/2019,1.1951
3/20/2019,2.2934
3/19/2019,1.9922
3/18/2019,1.9789
3/15/2019,2.3568
3/14/2019,2.867
3/13/2019,2.7777
3/12/2019,3.492
3/11/2019,3.7977
3/8/2019,5.32
3/7/2019,5.0954
3/6/2019,4.2415
3/5/2019,3.5614
3/4/2019,3.4442
3/1/2019,3.0428
2/28/2019,3.7533
2/27/2019,3.4601
2/26/2019,3.4038
2/25/2019,3.3221
2/22/2019,3.4494
2/21/2019,4.1126
2/20/2019,4.3559
2/19/2019,4.5414
2/15/2019,4.6981
2/14/2019,5.8371
2/13/2019,5.5564
2/12/2019,5.8756
2/11/2019,7.2404
2/8/2019,7.3164
2/7/2019,7.389
2/6/2019,6.3841
2/5/2019,6.1475
2/4/2019,6.6473
2/1/2019,7.37
1/31/2019,7.4664
1/30/2019,8.3904
1/29/2019,10.0758
1/28/2019,9.9155
1/25/2019,9.053
1/24/2019,9.9787
1/23/2019,10.13
1/22/2019,10.3726
1/18/2019,8.81
1/17/2019,10.2445
1/16/2019,11.0814
1/15/2019,11.3282
1/14/2019,12.5218
1/11/2019,11.9302
1/10/2019,11.9139
1/9/2019,15.0888
1/8/2019,15.5605
1/7/2019,16.6809
1/4/2019,17.4988
1/3/2019,21.5332
1/2/2019,18.5245
12/31/2018,18.6748
12/28/2018,22.7803
12/27/2018,22.6279
12/26/2018,23.6779
12/24/2018,29.8116
12/21/2018,26.2921
12/20/2018,23.692
12/19/2018,21.7411
12/18/2018,19.8668
12/17/2018,19.8771
12/14/2018,17.3869
12/13/2018,10.9962
12/12/2018,10.9741
12/11/2018,11.5755
12/10/2018,11.5357
12/7/2018,11.7323
12/6/2018,9.1267
12/4/2018,8.9605
12/3/2018,5.434
11/30/2018,6.5876
11/29/2018,7.4601
11/28/2018,7.2239
11/27/2018,9.6873
11/26/2018,10.0451
11/23/2018,11.7543
11/21/2018,11.0218
11/20/2018,11.3597
11/19/2018,9.3384
11/16/2018,7.5186
11/15/2018,8.2705
11/14/2018,9.4175
11/13/2018,8.5894
11/12/2018,8.4285
11/9/2018,6.2923
11/8/2018,5.3145
11/7/2018,5.0503
11/6/2018,7.2783
11/5/2018,7.9498
11/2/2018,8.5543
11/1/2018,7.8686
10/31/2018,9.0075
10/30/2018,10.1904
10/29/2018,11.9167
10/26/2018,11.1826
10/25/2018,9.2561
10/24/2018,11.291
10/23/2018,7.8561
10/22/2018,7.2616
10/19/2018,6.8004
10/18/2018,6.7618
10/17/2018,5.2253
10/16/2018,5.1987
10/15/2018,7.46
10/12/2018,6.8255
10/11/2018,8.3431
10/10/2018,6.1141
10/9/2018,2.6268
10/8/2018,2.4813
10/5/2018,2.4408
10/4/2018,1.8745
10/3/2018,1.0422
10/2/2018,1.1141
10/1/2018,1.074
9/28/2018,1.442
9/27/2018,1.4413
9/26/2018,1.7216
9/25/2018,1.387
9/24/2018,1.2547
9/21/2018,0.8987
9/20/2018,0.8616
9/19/2018,1.6524
9/18/2018,1.7798
9/17/2018,2.3262
9/14/2018,1.7563
9/13/2018,1.7843
9/12/2018,2.322
9/11/2018,2.3585
9/10/2018,2.7413
9/7/2018,2.9363
9/6/2018,2.7084
9/5/2018,2.3333
9/4/2018,2.0465
8/31/2018,1.8776
8/30/2018,1.8913
8/29/2018,1.4399
8/28/2018,1.6041
8/27/2018,1.6315
8/24/2018,2.411
8/23/2018,3.0459
8/22/2018,2.8716
8/21/2018,2.8306
8/20/2018,3.0433
8/17/2018,3.2935
8/16/2018,3.6368
8/15/2018,4.4575
8/14/2018,3.6634
8/13/2018,4.3258
8/10/2018,3.9078
8/9/2018,3.1687
8/8/2018,3.0199
8/7/2018,2.9929
8/6/2018,3.2837
8/3/2018,3.6492
8/2/2018,4.1306
8/1/2018,4.6436
7/31/2018,4.5347
7/30/2018,5.0453
7/27/2018,4.4409
7/26/2018,3.7555
7/25/2018,3.4409
7/24/2018,4.3824
7/23/2018,4.8814
7/20/2018,5.0742
7/19/2018,4.9745
7/18/2018,4.5596
7/17/2018,4.7855
7/16/2018,5.2018
7/13/2018,5.0937
7/12/2018,5.2071
7/11/2018,6.1276
7/10/2018,5.3747
7/9/2018,5.7407
7/6/2018,6.6736
7/5/2018,7.5784
7/3/2018,8.5058
7/2/2018,7.9689
6/29/2018,8.3002
6/28/2018,8.2719
6/27/2018,8.9409
6/26/2018,8.0035
6/25/2018,8.2416
6/22/2018,6.756
6/21/2018,6.9548
6/20/2018,6.2761
6/19/2018,6.4581
6/18/2018,6.0297
6/15/2018,5.8043
6/14/2018,5.6967
6/13/2018,5.9579
6/12/2018,5.5313
6/11/2018,5.7153
6/8/2018,5.8283
6/7/2018,6.1591
6/6/2018,6.0833
6/5/2018,6.9921
6/4/2018,7.0673
6/1/2018,7.5469
5/31/2018,8.7137
5/30/2018,7.9658
5/29/2018,9.3365
5/25/2018,8.0722
5/24/2018,7.8174
5/23/2018,7.5993
5/22/2018,7.9488
5/21/2018,7.6103
5/18/2018,8.4052
5/17/2018,8.2301
5/16/2018,8.1375
5/15/2018,8.5766
5/14/2018,7.8337
5/11/2018,7.929
5/10/2018,8.1133
5/9/2018,9.1264
5/8/2018,10.1829
5/7/2018,10.1537
5/4/2018,10.5346
5/3/2018,11.9507
5/2/2018,11.6984
5/1/2018,10.8935
4/30/2018,11.1761
4/27/2018,10.2659
4/26/2018,10.3887
4/25/2018,11.5405
4/24/2018,11.7454
4/23/2018,10.2502
4/20/2018,10.2564
4/19/2018,9.3152
4/18/2018,8.6892
4/17/2018,8.7796
4/16/2018,9.9394
4/13/2018,10.8309
4/12/2018,10.5109
4/11/2018,11.4227
4/10/2018,10.8071
4/9/2018,12.6605
4/6/2018,13.0364
4/5/2018,10.5587
4/4/2018,11.3174
4/3/2018,12.6049
4/2/2018,14.0254
3/29/2018,11.4784
3/28/2018,13.0134
3/27/2018,12.6838
3/26/2018,10.5866
3/23/2018,13.5898
3/22/2018,11.2082
3/21/2018,8.4099
3/20/2018,8.21
3/19/2018,8.3703
3/16/2018,6.831
3/15/2018,7.013
3/14/2018,6.9293
3/13/2018,6.3172
3/12/2018,5.6406
3/9/2018,5.5061
3/8/2018,7.3396
3/7/2018,7.8187
3/6/2018,7.7665
3/5/2018,8.0509
3/2/2018,9.2429
3/1/2018,9.797
2/28/2018,8.334
2/27/2018,7.1319
2/26/2018,5.7706
2/23/2018,7.0142
2/22/2018,8.7294
2/21/2018,8.8353
2/20/2018,8.2371
2/16/2018,7.6048
2/15/2018,7.645
2/14/2018,8.9442
2/13/2018,10.4043
2/12/2018,10.6928
2/9/2018,12.233
2/8/2018,13.2507
2/7/2018,8.9996
2/6/2018,8.4545
2/5/2018,10.346
2/2/2018,5.8241
2/1/2018,3.5798
1/31/2018,3.5126
1/30/2018,3.5632
1/29/2018,2.4345
1/26/2018,1.7449
1/25/2018,2.9497
1/24/2018,3.0118
1/23/2018,2.9541
1/22/2018,3.1779
1/19/2018,4.0102
