Security,CDSPHRAV Index                                                  ,
Start Date,1/2/2003 0:00,
End Date,5/18/2021 0:00,
Period,D,
Currency,CNY,
,,
Date,PX_LAST,CHG_NET_1D
11/16/2018,3875,3
11/15/2018,3872,-3
11/14/2018,3875,-11
11/13/2018,3886,-34
11/12/2018,3920,-66
11/9/2018,3986,-27
11/8/2018,4013,-32
11/7/2018,4045,-19
11/6/2018,4064,-10
11/5/2018,4074,-8
11/2/2018,4082,-26
11/1/2018,4108,-30
10/31/2018,4138,-13
10/30/2018,4151,-16
10/29/2018,4167,-15
10/26/2018,4182,0
10/25/2018,4182,-3
10/24/2018,4185,-1
10/23/2018,4186,-7
10/22/2018,4193,2
10/19/2018,4191,-18
10/18/2018,4209,-10
10/17/2018,4219,-7
10/16/2018,4226,5
10/15/2018,4221,1
10/12/2018,4220,-9
10/11/2018,4229,-8
10/10/2018,4237,3
10/9/2018,4234,12
10/8/2018,4222,-8
9/28/2018,4230,-36
9/27/2018,4266,-3
9/26/2018,4269,-16
9/25/2018,4285,-12
9/21/2018,4297,-5
9/20/2018,4302,-14
9/19/2018,4316,0
9/18/2018,4316,-4
9/17/2018,4320,4
9/14/2018,4316,0
9/13/2018,4316,3
9/12/2018,4313,-37
9/11/2018,4350,-25
9/10/2018,4375,18
9/7/2018,4357,30
9/6/2018,4327,-7
9/5/2018,4334,5
9/4/2018,4329,5
9/3/2018,4324,-13
8/31/2018,4337,-16
8/30/2018,4353,-21
8/29/2018,4374,-2
8/28/2018,4376,-15
8/27/2018,4391,10
8/24/2018,4381,-16
8/23/2018,4397,-6
8/22/2018,4403,4
8/21/2018,4399,11
8/20/2018,4388,77
8/17/2018,4311,-4
8/16/2018,4315,-11
8/15/2018,4326,-5
8/14/2018,4331,15
8/13/2018,4316,15
8/10/2018,4301,-2
8/9/2018,4303,-11
8/8/2018,4314,-3
8/7/2018,4317,14
8/6/2018,4303,5
8/3/2018,4298,4
8/2/2018,4294,-14
8/1/2018,4308,12
7/31/2018,4296,3
7/30/2018,4293,22
7/27/2018,4271,22
7/26/2018,4249,-1
7/25/2018,4250,-1
7/24/2018,4251,0
7/23/2018,4251,1
7/20/2018,4250,-3
7/19/2018,4253,13
7/18/2018,4240,-5
7/17/2018,4245,-6
7/16/2018,4251,3
7/13/2018,4248,6
7/12/2018,4242,19
7/11/2018,4223,2
7/10/2018,4221,18
7/9/2018,4203,-4
7/6/2018,4207,-21
7/5/2018,4228,-1
7/4/2018,4229,-13
7/3/2018,4242,-17
7/2/2018,4259,0
6/29/2018,4259,2
6/28/2018,4257,6
6/27/2018,4251,-9
6/26/2018,4260,-23
6/25/2018,4283,-10
6/22/2018,4293,-3
6/21/2018,4296,8
6/20/2018,4288,-18
6/19/2018,4306,-9
6/15/2018,4315,-2
6/14/2018,4317,11
6/13/2018,4306,9
6/12/2018,4297,8
6/11/2018,4289,-6
6/8/2018,4295,5
6/7/2018,4290,24
6/6/2018,4266,12
