Start Date,1/10/2000,,,
End Date,,,,
,,,,
SPX Index,5 day,20 day,50 day,200 day
Dates,SMAVG,SMAVG,SMAVG,SMAVG
3/2/2001,1248.188,1346.792,1334.7186,1411.38425
3/5/2001,1242.94,1344.7415,1333.2184,1410.8164
3/6/2001,1242.112,#N/A N/A,#N/A N/A,#N/A N/A
3/7/2001,1246.502,1341.5435,1331.768,1410.16325
3/8/2001,1251.204,1336.287,1330.0024,1409.27645
3/9/2001,1251.052,1330.713,1327.661,1408.4197
3/12/2001,1238.802,1325.1305,1324.9742,1407.5883
3/13/2001,1227.574,1320.7655,1322.9036,1407.0113
3/14/2001,1208.538,1315.454,1320.8626,1406.26195
3/15/2001,1190.302,1308.7645,1318.8428,1405.35685
3/16/2001,1173.724,1302.5255,1317.4244,1404.3012
3/19/2001,1171.854,1295.561,1315.6532,1403.1419
3/20/2001,1160.846,1290.158,1314.3694,1402.10995
3/21/2001,1151.932,1285.1325,1314.1506,1401.1929
3/22/2001,1140.736,1280.614,1313.8912,1400.4676
3/23/2001,1138.596,1276.8065,1313.0666,1399.7877
3/26/2001,1134.972,1271.851,1311.4312,1399.0855
3/27/2001,1142.882,1265.121,1308.456,1397.99105
3/28/2001,1149.112,1258.4885,1305.7248,1397.07175
3/29/2001,1155.186,1250.884,1302.6534,1396.0152
3/30/2001,1159.286,1243.766,1300.4592,1394.77075
4/2/2001,1157.922,1234.962,1296.5186,1393.4204
4/3/2001,1142.78,1228.426,1293.268,1392.0304
4/4/2001,1132.772,1221.61,1290.1534,1390.3572
4/5/2001,1133.47,1214.9535,1286.679,1388.62975
4/6/2001,1127.09,1208.1915,1283.0146,1386.92845
4/9/2001,1125.434,1202.89,1279.5458,1385.2708
4/10/2001,1137.818,1197.142,1276.0632,1383.7259
4/11/2001,1150.346,1193.3535,1273.3402,1382.352
4/12/2001,1156.758,1189.021,1269.873,1380.88845
4/16/2001,1167.008,1184.357,1266.2426,1379.281
4/17/2001,1177.852,1180.6645,1262.4898,1377.72995
4/18/2001,1191.808,1175.8875,1258.5564,1376.06565
4/19/2001,1209.37,1168.5205,1253.8276,1374.27565
4/20/2001,1221.266,1160.5885,1248.6846,1372.3619
4/23/2001,1230.202,1154.9235,1244.4274,1370.73935
4/24/2001,1233.734,1149.674,1239.8458,1368.98585
4/25/2001,1231.852,1147.5455,1235.4986,1367.4129
4/26/2001,1228.016,1146.0815,1231.5828,1366.0474
4/27/2001,1230.03,1146.0405,1227.426,1364.6003
4/30/2001,1235.05,1146.5375,1223.7758,1363.26505
5/1/2001,1246.444,#N/A N/A,#N/A N/A,#N/A N/A
5/2/2001,1254.18,1147.995,1219.9,1361.88935
5/3/2001,1256.992,1149.045,1216.7468,1360.63645
