Security,.SPXCARRY U Index                                               
Start Date,5/18/2001 0:00
End Date,5/14/2021 0:00
Period,W
,
Date,PX_LAST
5/14/2010,7.0537
5/7/2010,21.9518
4/30/2010,8.6083
4/23/2010,7.4515
4/16/2010,9.5151
4/9/2010,8.5064
4/2/2010,8.8131
3/26/2010,8.1766
3/19/2010,6.3445
3/12/2010,2.0872
3/5/2010,0.8764
2/26/2010,0.484
2/19/2010,1.1289
2/12/2010,4.1391
2/5/2010,8.1796
1/29/2010,9.6682
1/22/2010,12.7937
1/15/2010,7.1157
1/8/2010,6.3061
1/1/2010,9.3172
12/25/2009,6.7656
12/18/2009,7.3545
12/11/2009,7.1154
12/4/2009,1.8414
11/27/2009,4.7933
11/20/2009,2.5205
11/13/2009,4.1204
11/6/2009,4.074
10/30/2009,10.2443
10/23/2009,5.7952
10/16/2009,5.8586
10/9/2009,6.0999
10/2/2009,12.8569
9/25/2009,9.4146
9/18/2009,7.4792
9/11/2009,7.2455
9/4/2009,8.4025
8/28/2009,9.1337
8/21/2009,7.4343
8/14/2009,6.7439
8/7/2009,5.3664
7/31/2009,3.9422
7/24/2009,-0.4642
7/17/2009,1.9515
7/10/2009,8.0182
7/3/2009,4.6605
6/26/2009,2.4215
6/19/2009,4.3994
6/12/2009,2.4021
6/5/2009,2.9904
5/29/2009,-0.889
5/22/2009,3.7039
5/15/2009,2.7249
5/8/2009,0.7082
5/1/2009,-1.4383
4/24/2009,-1.6302
4/17/2009,-6.1768
4/10/2009,-9.1327
4/3/2009,-6.5318
3/27/2009,-6.8139
3/20/2009,2.0339
3/13/2009,-0.9789
3/6/2009,10.1965
2/27/2009,6.0561
2/20/2009,11.2399
2/13/2009,6.0662
2/6/2009,7.0421
1/30/2009,9.3135
1/23/2009,10.684
1/16/2009,11.3734
1/9/2009,-3.5594
1/2/2009,-17.5994
12/26/2008,-17.7161
12/19/2008,-21.5979
12/12/2008,-15.3385
12/5/2008,-15.988
11/28/2008,-17.7192
11/21/2008,-2.7112
11/14/2008,-14.5438
11/7/2008,-22.8147
10/31/2008,-19.2947
10/24/2008,3.9343
10/17/2008,-2.006
10/10/2008,14.0324
10/3/2008,-4.3894
9/26/2008,-1.9587
9/19/2008,-2.2923
9/12/2008,1.6521
9/5/2008,0.0137
8/29/2008,-1.9724
8/22/2008,-3.6492
8/15/2008,-4.1388
8/8/2008,-3.4733
8/1/2008,0.228
7/25/2008,2.7557
7/18/2008,4.4103
7/11/2008,7.3092
7/4/2008,6.0706
6/27/2008,4.9024
6/20/2008,5.3107
6/13/2008,3.6414
6/6/2008,6.4451
5/30/2008,4.7324
5/23/2008,4.1268
5/16/2008,1.0237
5/9/2008,1.2759
5/2/2008,0.4435
4/25/2008,-4.2153
4/18/2008,-7.298
4/11/2008,-3.844
4/4/2008,-5.7371
3/28/2008,-0.7813
3/21/2008,0.1635
3/14/2008,8.2832
3/7/2008,7.0576
2/29/2008,5.2428
2/22/2008,1.3035
2/15/2008,1.6347
2/8/2008,4.3764
